,columns,missing values count
0,Sensor - 1,12
1,Sensor - 2,36
2,Sensor - 3,156
3,Sensor - 4,156
4,Sensor - 5,156
5,Sensor - 6,156
6,Sensor - 7,156
7,Sensor - 8,98
8,Sensor - 9,24
9,Sensor - 10,24
10,Sensor - 11,24
11,Sensor - 12,24
12,Sensor - 13,24
13,Sensor - 14,36
14,Sensor - 15,36
15,Sensor - 16,36
16,Sensor - 17,36
17,Sensor - 18,36
18,Sensor - 19,36
19,Sensor - 20,0
20,Sensor - 21,0
21,Sensor - 22,12
22,Sensor - 23,12
23,Sensor - 24,12
24,Sensor - 25,12
25,Sensor - 26,12
26,Sensor - 27,12
27,Sensor - 28,12
28,Sensor - 29,12
29,Sensor - 30,12
30,Sensor - 31,12
31,Sensor - 32,12
32,Sensor - 33,0
33,Sensor - 34,0
34,Sensor - 35,0
35,Sensor - 36,0
36,Sensor - 37,0
37,Sensor - 38,0
38,Sensor - 39,0
39,Sensor - 40,0
40,Sensor - 41,172
41,Sensor - 42,172
42,Sensor - 43,0
43,Sensor - 44,0
44,Sensor - 45,0
45,Sensor - 46,0
46,Sensor - 47,0
47,Sensor - 48,0
48,Sensor - 49,0
49,Sensor - 50,0
50,Sensor - 51,0
51,Sensor - 52,0
52,Sensor - 53,0
53,Sensor - 54,12
54,Sensor - 55,12
55,Sensor - 56,12
56,Sensor - 57,12
57,Sensor - 58,12
58,Sensor - 59,12
59,Sensor - 60,61
60,Sensor - 61,61
61,Sensor - 62,61
62,Sensor - 63,61
63,Sensor - 64,61
64,Sensor - 65,61
65,Sensor - 66,61
66,Sensor - 67,61
67,Sensor - 68,61
68,Sensor - 69,61
69,Sensor - 70,61
70,Sensor - 71,61
71,Sensor - 72,61
72,Sensor - 73,6402
73,Sensor - 74,6402
74,Sensor - 75,61
75,Sensor - 76,288
76,Sensor - 77,288
77,Sensor - 78,288
78,Sensor - 79,288
79,Sensor - 80,288
80,Sensor - 81,288
81,Sensor - 82,288
82,Sensor - 83,288
83,Sensor - 84,12
84,Sensor - 85,24
85,Sensor - 86,7417
86,Sensor - 87,0
87,Sensor - 88,0
88,Sensor - 89,0
89,Sensor - 90,605
90,Sensor - 91,605
91,Sensor - 92,61
92,Sensor - 93,25
93,Sensor - 94,25
94,Sensor - 95,61
95,Sensor - 96,61
96,Sensor - 97,61
97,Sensor - 98,61
98,Sensor - 99,61
99,Sensor - 100,61
100,Sensor - 101,61
101,Sensor - 102,61
102,Sensor - 103,61
103,Sensor - 104,25
104,Sensor - 105,25
105,Sensor - 106,61
106,Sensor - 107,61
107,Sensor - 108,61
108,Sensor - 109,61
109,Sensor - 110,3494
110,Sensor - 111,3494
111,Sensor - 112,3494
112,Sensor - 113,6752
113,Sensor - 114,0
114,Sensor - 115,0
115,Sensor - 116,0
116,Sensor - 117,0
117,Sensor - 118,0
118,Sensor - 119,288
119,Sensor - 120,0
120,Sensor - 121,0
121,Sensor - 122,36
122,Sensor - 123,36
123,Sensor - 124,36
124,Sensor - 125,36
125,Sensor - 126,36
126,Sensor - 127,36
127,Sensor - 128,36
128,Sensor - 129,36
129,Sensor - 130,36
130,Sensor - 131,36
131,Sensor - 132,36
132,Sensor - 133,36
133,Sensor - 134,36
134,Sensor - 135,36
135,Sensor - 136,0
136,Sensor - 137,12
137,Sensor - 138,36
138,Sensor - 139,156
139,Sensor - 140,156
140,Sensor - 141,156
141,Sensor - 142,156
142,Sensor - 143,156
143,Sensor - 144,98
144,Sensor - 145,24
145,Sensor - 146,24
146,Sensor - 147,24
147,Sensor - 148,24
148,Sensor - 149,24
149,Sensor - 150,36
150,Sensor - 151,36
151,Sensor - 152,36
152,Sensor - 153,36
153,Sensor - 154,36
154,Sensor - 155,36
155,Sensor - 156,0
156,Sensor - 157,0
157,Sensor - 158,9342
158,Sensor - 159,9342
159,Sensor - 160,12
160,Sensor - 161,12
161,Sensor - 162,12
162,Sensor - 163,12
163,Sensor - 164,12
164,Sensor - 165,12
165,Sensor - 166,12
166,Sensor - 167,12
167,Sensor - 168,12
168,Sensor - 169,12
169,Sensor - 170,12
170,Sensor - 171,0
171,Sensor - 172,0
172,Sensor - 173,0
173,Sensor - 174,0
174,Sensor - 175,0
175,Sensor - 176,0
176,Sensor - 177,0
177,Sensor - 178,0
178,Sensor - 179,172
179,Sensor - 180,0
180,Sensor - 181,0
181,Sensor - 182,0
182,Sensor - 183,0
183,Sensor - 184,0
184,Sensor - 185,0
185,Sensor - 186,0
186,Sensor - 187,0
187,Sensor - 188,0
188,Sensor - 189,0
189,Sensor - 190,0
190,Sensor - 191,12
191,Sensor - 192,12
192,Sensor - 193,12
193,Sensor - 194,12
194,Sensor - 195,12
195,Sensor - 196,12
196,Sensor - 197,61
197,Sensor - 198,61
198,Sensor - 199,61
199,Sensor - 200,61
200,Sensor - 201,61
201,Sensor - 202,61
202,Sensor - 203,61
203,Sensor - 204,61
204,Sensor - 205,61
205,Sensor - 206,61
206,Sensor - 207,61
207,Sensor - 208,61
208,Sensor - 209,61
209,Sensor - 210,61
210,Sensor - 211,288
211,Sensor - 212,288
212,Sensor - 213,288
213,Sensor - 214,288
214,Sensor - 215,288
215,Sensor - 216,288
216,Sensor - 217,288
217,Sensor - 218,288
218,Sensor - 219,12
219,Sensor - 220,24
220,Sensor - 221,7417
221,Sensor - 222,0
222,Sensor - 223,0
223,Sensor - 224,0
224,Sensor - 225,605
225,Sensor - 226,605
226,Sensor - 227,61
227,Sensor - 228,25
228,Sensor - 229,25
229,Sensor - 230,61
230,Sensor - 231,61
231,Sensor - 232,61
232,Sensor - 233,61
233,Sensor - 234,61
234,Sensor - 235,61
235,Sensor - 236,61
236,Sensor - 237,61
237,Sensor - 238,61
238,Sensor - 239,25
239,Sensor - 240,25
240,Sensor - 241,61
241,Sensor - 242,61
242,Sensor - 243,61
243,Sensor - 244,61
244,Sensor - 245,3494
245,Sensor - 246,3494
246,Sensor - 247,3494
247,Sensor - 248,6752
248,Sensor - 249,0
249,Sensor - 250,0
250,Sensor - 251,0
251,Sensor - 252,0
252,Sensor - 253,0
253,Sensor - 254,288
254,Sensor - 255,0
255,Sensor - 256,0
256,Sensor - 257,36
257,Sensor - 258,36
258,Sensor - 259,36
259,Sensor - 260,36
260,Sensor - 261,36
261,Sensor - 262,36
262,Sensor - 263,36
263,Sensor - 264,36
264,Sensor - 265,36
265,Sensor - 266,36
266,Sensor - 267,36
267,Sensor - 268,36
268,Sensor - 269,36
269,Sensor - 270,36
270,Sensor - 271,0
271,Sensor - 272,12
272,Sensor - 273,36
273,Sensor - 274,156
274,Sensor - 275,156
275,Sensor - 276,156
276,Sensor - 277,156
277,Sensor - 278,156
278,Sensor - 279,98
279,Sensor - 280,24
280,Sensor - 281,24
281,Sensor - 282,24
